Name,Age,Email,Join Date,Salary,Department
Hunter Thomas,25.0,xlopez@hotmail.com,2022-03-31,88552.0,Sales
Julia Lee,71.0,figueroakayla@yahoo.com,2022-03-31,143456.0,Marketing
Elizabeth Williams,71.0,andrew74@hotmail.com,2022-02-12,83354.0,Sales
Jay Fisher,44.0,denisemaynard@jordan.com,2022-12-08,37701.72599250199,HR
Craig Conway,88.0,gerald47@woodard-smith.com,2022-03-31,81214.52597186244,Engineering
Amber Marsh,23.0,robert43@gmail.com,2023-09-08,112970.0,Engineering
Patrick Mooney,57.0,bowersjasmine@hotmail.com,2023-06-24,41511.139645951946,Sales
Elizabeth Williams,22.0,ericjohnson@castillo-mendez.net,2023-03-01,89241.0,HR
Elizabeth Williams,54.0,fwilliams@yahoo.com,2022-03-31,89241.0,Support
Danny Martinred,64.0,amyclements@lee.biz,2022-08-30,89241.0,HR
Curtis Parkerlot,36.0,daniellewilliams@gmail.com,2023-12-08,89241.0,HR
Sharon Mcclure,25.0,mcmahonchristina@hotmail.com,2024-06-09,89208.0,Marketing
Lori Hernandez,83.0,elizabeth22@yahoo.com,2021-05-29,52075.0,Engineering
Christina Norriscompare,84.0,haleygary@yahoo.com,2021-07-17,92668.0,Engineering
Trevor Smith,30.0,robertflowers@diaz.biz,2022-03-31,133390.0,Marketing
Elizabeth Williams,18.0,jeremyarmstrong@hotmail.com,2022-03-31,35900.0,Engineering
Ryan Danielstv,35.0,hward@yahoo.com,2023-01-14,108317.0,Sales
Veronica Schmidt,40.0,steven75@yahoo.com,2020-03-13,65482.0,Engineering
Cesar Morrison,72.0,lisa58@gmail.com,2020-06-14,149906.2384265149,HR
Sandra Young,76.0,williamsummers@hotmail.com,2021-06-30,54014.0,Sales
Kayla Carpenter,61.0,dcooper@adams.net,2021-06-08,82857.39804033376,Engineering
Laura Douglas,38.0,rebecca26@long-gray.org,2023-01-15,63299.0,Marketing
Alice Lewis,20.0,juansalinas@hotmail.com,2020-11-16,149906.2384265149,HR
Richard Collins,68.0,michaelhernandez@lee.com,2021-05-12,65728.0,Support
John Bailey,69.0,robbinsfelicia@nelson.com,2020-09-30,39784.0,Support
Joshua Harmonview,59.0,smithrichard@yahoo.com,2020-03-13,89241.0,HR
Angela Waller,82.0,simontoni@gmail.com,2022-10-22,80113.0,Support
Jessica Evans,86.0,mark30@graham-carter.org,2020-04-15,63661.0,HR
Kimberly Page,71.0,kruegerchristopher@hotmail.com,2022-03-31,123114.0,HR
